time,counter_status_200_prometheus_queue-master:80_queue-master,gauge_response_prometheus_queue-master:80_queue-master,scrape_duration_seconds_queue-master:80_queue-master,scrape_samples_post_metric_relabeling_queue-master:80_queue-master,scrape_samples_scraped_queue-master:80_queue-master,scrape_series_added_queue-master:80_queue-master,up_queue-master:80_queue-master
2020-05-31T18:51:30,111705.0,1.0,0.001067154,2.0,2.0,0.0,1.0
2020-05-31T18:51:31,111710.0,1.0,0.001035087,2.0,2.0,0.0,1.0
2020-05-31T18:51:32,111710.0,1.0,0.000961709,2.0,2.0,0.0,1.0
2020-05-31T18:51:33,111710.0,1.0,0.001329129,2.0,2.0,0.0,1.0
2020-05-31T18:51:34,111710.0,1.0,0.001029362,2.0,2.0,0.0,1.0
2020-05-31T18:51:35,111710.0,1.0,0.001034117,2.0,2.0,0.0,1.0
2020-05-31T18:51:36,111715.0,1.0,0.001195027,2.0,2.0,0.0,1.0
2020-05-31T18:51:37,111715.0,1.0,0.001277176,2.0,2.0,0.0,1.0
2020-05-31T18:51:38,111715.0,1.0,0.001489174,2.0,2.0,0.0,1.0
2020-05-31T18:51:39,111715.0,1.0,0.001245874,2.0,2.0,0.0,1.0
2020-05-31T18:51:40,111715.0,1.0,0.001019613,2.0,2.0,0.0,1.0
2020-05-31T18:51:41,111720.0,1.0,0.001061188,2.0,2.0,0.0,1.0
2020-05-31T18:51:42,111720.0,1.0,0.001064425,2.0,2.0,0.0,1.0
2020-05-31T18:51:43,111720.0,1.0,0.001069244,2.0,2.0,0.0,1.0
2020-05-31T18:51:44,111720.0,1.0,0.001028823,2.0,2.0,0.0,1.0
2020-05-31T18:51:45,111720.0,1.0,0.007332085,2.0,2.0,0.0,1.0
2020-05-31T18:51:46,111725.0,1.0,0.000906777,2.0,2.0,0.0,1.0
2020-05-31T18:51:47,111725.0,1.0,0.001126079,2.0,2.0,0.0,1.0
2020-05-31T18:51:48,111725.0,1.0,0.001008434,2.0,2.0,0.0,1.0
2020-05-31T18:51:49,111725.0,1.0,0.001180394,2.0,2.0,0.0,1.0
2020-05-31T18:51:50,111725.0,1.0,0.001006648,2.0,2.0,0.0,1.0
2020-05-31T18:51:51,111730.0,1.0,0.000963849,2.0,2.0,0.0,1.0
2020-05-31T18:51:52,111730.0,1.0,0.001104797,2.0,2.0,0.0,1.0
2020-05-31T18:51:53,111730.0,1.0,0.00210257,2.0,2.0,0.0,1.0
2020-05-31T18:51:54,111730.0,1.0,0.002011432,2.0,2.0,0.0,1.0
2020-05-31T18:51:55,111730.0,1.0,0.001133484,2.0,2.0,0.0,1.0
2020-05-31T18:51:56,111735.0,1.0,0.000969411,2.0,2.0,0.0,1.0
2020-05-31T18:51:57,111735.0,1.0,0.001016695,2.0,2.0,0.0,1.0
2020-05-31T18:51:58,111735.0,1.0,0.001069619,2.0,2.0,0.0,1.0
2020-05-31T18:51:59,111735.0,1.0,0.001110418,2.0,2.0,0.0,1.0
2020-05-31T18:52:00,111735.0,1.0,0.001447929,2.0,2.0,0.0,1.0
2020-05-31T18:52:01,111740.0,1.0,0.001612798,2.0,2.0,0.0,1.0
2020-05-31T18:52:02,111740.0,1.0,0.001142479,2.0,2.0,0.0,1.0
2020-05-31T18:52:03,111740.0,1.0,0.001538214,2.0,2.0,0.0,1.0
2020-05-31T18:52:04,111740.0,1.0,0.000964633,2.0,2.0,0.0,1.0
2020-05-31T18:52:05,111740.0,1.0,0.000976228,2.0,2.0,0.0,1.0
2020-05-31T18:52:06,111745.0,1.0,0.0011586,2.0,2.0,0.0,1.0
2020-05-31T18:52:07,111745.0,1.0,0.001251842,2.0,2.0,0.0,1.0
2020-05-31T18:52:08,111745.0,1.0,0.001050954,2.0,2.0,0.0,1.0
2020-05-31T18:52:09,111745.0,1.0,0.001096226,2.0,2.0,0.0,1.0
2020-05-31T18:52:10,111745.0,1.0,0.000973043,2.0,2.0,0.0,1.0
2020-05-31T18:52:11,111750.0,1.0,0.000971343,2.0,2.0,0.0,1.0
2020-05-31T18:52:12,111750.0,1.0,0.00133258,2.0,2.0,0.0,1.0
2020-05-31T18:52:13,111750.0,1.0,0.000951005,2.0,2.0,0.0,1.0
2020-05-31T18:52:14,111750.0,1.0,0.001055018,2.0,2.0,0.0,1.0
2020-05-31T18:52:15,111750.0,1.0,0.000967443,2.0,2.0,0.0,1.0
2020-05-31T18:52:16,111755.0,1.0,0.00100423,2.0,2.0,0.0,1.0
2020-05-31T18:52:17,111755.0,1.0,0.001274989,2.0,2.0,0.0,1.0
2020-05-31T18:52:18,111755.0,1.0,0.001297141,2.0,2.0,0.0,1.0
2020-05-31T18:52:19,111755.0,1.0,0.001117899,2.0,2.0,0.0,1.0
2020-05-31T18:52:20,111755.0,1.0,0.001056338,2.0,2.0,0.0,1.0
2020-05-31T18:52:21,111760.0,1.0,0.001019973,2.0,2.0,0.0,1.0
2020-05-31T18:52:22,111760.0,1.0,0.001072752,2.0,2.0,0.0,1.0
2020-05-31T18:52:23,111760.0,1.0,0.001018589,2.0,2.0,0.0,1.0
2020-05-31T18:52:24,111760.0,1.0,0.001067302,2.0,2.0,0.0,1.0
2020-05-31T18:52:25,111760.0,1.0,0.00244353,2.0,2.0,0.0,1.0
2020-05-31T18:52:26,111765.0,1.0,0.001056964,2.0,2.0,0.0,1.0
2020-05-31T18:52:27,111765.0,1.0,0.001792228,2.0,2.0,0.0,1.0
2020-05-31T18:52:28,111765.0,1.0,0.001026063,2.0,2.0,0.0,1.0
2020-05-31T18:52:29,111765.0,1.0,0.001115296,2.0,2.0,0.0,1.0
2020-05-31T18:52:30,111765.0,1.0,0.001005861,2.0,2.0,0.0,1.0
2020-05-31T18:52:31,111770.0,1.0,0.0012807,2.0,2.0,0.0,1.0
2020-05-31T18:52:32,111770.0,1.0,0.001002806,2.0,2.0,0.0,1.0
2020-05-31T18:52:33,111770.0,1.0,0.00106296,2.0,2.0,0.0,1.0
