time,counter_status_200_prometheus_queue-master:80_queue-master,gauge_response_prometheus_queue-master:80_queue-master,scrape_duration_seconds_queue-master:80_queue-master,scrape_samples_post_metric_relabeling_queue-master:80_queue-master,scrape_samples_scraped_queue-master:80_queue-master,scrape_series_added_queue-master:80_queue-master,up_queue-master:80_queue-master
2020-05-31T13:09:29,105185.0,0.0,0.001145159,2.0,2.0,0.0,1.0
2020-05-31T13:09:34,105186.0,1.0,0.001119881,2.0,2.0,0.0,1.0
2020-05-31T13:09:39,105187.0,1.0,0.000993863,2.0,2.0,0.0,1.0
2020-05-31T13:09:44,105188.0,1.0,0.001396808,2.0,2.0,0.0,1.0
2020-05-31T13:09:49,105189.0,1.0,0.001173309,2.0,2.0,0.0,1.0
2020-05-31T13:09:54,105190.0,1.0,0.001573843,2.0,2.0,0.0,1.0
2020-05-31T13:09:59,105191.0,0.0,0.002327248,2.0,2.0,0.0,1.0
2020-05-31T13:10:04,105192.0,1.0,0.003111381,2.0,2.0,0.0,1.0
2020-05-31T13:10:09,105193.0,1.0,0.001063108,2.0,2.0,0.0,1.0
2020-05-31T13:10:14,105194.0,1.0,0.001376406,2.0,2.0,0.0,1.0
2020-05-31T13:10:19,105195.0,1.0,0.001194653,2.0,2.0,0.0,1.0
2020-05-31T13:10:24,105196.0,0.0,0.001386253,2.0,2.0,0.0,1.0
2020-05-31T13:10:29,105197.0,1.0,0.001414881,2.0,2.0,0.0,1.0
2020-05-31T13:10:34,105198.0,1.0,0.00151232,2.0,2.0,0.0,1.0
2020-05-31T13:10:39,105199.0,0.0,0.001200942,2.0,2.0,0.0,1.0
2020-05-31T13:10:44,105200.0,1.0,0.001162019,2.0,2.0,0.0,1.0
2020-05-31T13:10:49,105201.0,1.0,0.001072617,2.0,2.0,0.0,1.0
2020-05-31T13:10:54,105202.0,1.0,0.001223541,2.0,2.0,0.0,1.0
2020-05-31T13:10:59,105203.0,1.0,0.001472204,2.0,2.0,0.0,1.0
2020-05-31T13:11:04,105204.0,1.0,0.001286364,2.0,2.0,0.0,1.0
2020-05-31T13:11:09,105205.0,1.0,0.001397228,2.0,2.0,0.0,1.0
2020-05-31T13:11:14,105206.0,1.0,0.001241469,2.0,2.0,0.0,1.0
2020-05-31T13:11:19,105207.0,1.0,0.001212884,2.0,2.0,0.0,1.0
2020-05-31T13:11:24,105208.0,1.0,0.001427466,2.0,2.0,0.0,1.0
2020-05-31T13:11:29,105209.0,1.0,0.00121878,2.0,2.0,0.0,1.0
2020-05-31T13:11:34,105210.0,1.0,0.001140704,2.0,2.0,0.0,1.0
2020-05-31T13:11:39,105211.0,1.0,0.00148631,2.0,2.0,0.0,1.0
2020-05-31T13:11:44,105212.0,1.0,0.001064462,2.0,2.0,0.0,1.0
2020-05-31T13:11:49,105213.0,1.0,0.000986548,2.0,2.0,0.0,1.0
